time,thrust
0,0.01
0.044,0.73
0.0605,0.41
0.077,0.92
0.0935,1.73
0.11,2.12
0.120666667,3.22
0.131333333,3.58
0.142,4.54
0.1625,6.32
0.183,9.74
0.2015,11.11
0.22,15.26
0.2365,24.26
0.253,30.5
0.2695,46.57
0.286,59.65
0.297,74.45
0.308,81.94
0.319,93.75
0.335,104.21
0.351,133.19
0.373,175.9
0.395,154.6
0.4125,249
0.43,304.41
0.446,326.54
0.462,344.92
0.4785,366.12
0.495,369.24
0.506,367.98
0.517,370.53
0.528,378.26
0.5445,361.66
0.561,338.65
0.577,332.13
0.593,326.68
0.616,320.42
0.639,309.87
0.655,313.97
0.671,302.16
0.6875,337.16
0.704,329.56
0.715,295.12
0.726,293.49
0.737,293.37
0.7535,294.26
0.77,294.91
0.7885,295.85
0.807,298.5
0.8225,293.27
0.838,292.56
0.859,292.73
0.88,295.85
0.8965,296.16
0.913,294.22
0.929,294.17
0.945,291.38
0.968,294.94
0.991,289.13
1.007,290.18
1.023,289.24
1.0395,286.98
1.056,284.62
1.0725,282.12
1.089,285.79
1.1,285.62
1.111,285.91
1.122,283.31
1.159,280.25
1.199,280.52
1.216,280.3
1.233,277.51
1.249,275.41
1.265,277.54
1.276,274.38
1.287,270.83
1.298,269.87
1.3195,278.82
1.341,267.76
1.3585,255.84
1.376,253.41
1.392,250.68
1.408,243.38
1.4245,237.67
1.441,237.69
1.4575,235.93
1.474,227.87
1.485,222.94
1.496,218.1
1.507,213.25
1.523,207.46
1.539,204.35
1.562,195.3
1.585,192.2
1.601,182.86
1.617,179.56
1.6335,171.95
1.65,166.8
1.666,155.53
1.682,152.66
1.693,155.51
1.704,138.66
1.715,136.48
1.7315,136.84
1.748,133.42
1.7655,123.61
1.783,119.2
1.805,113.67
1.827,113
1.843,105.62
1.859,98.95
1.875,93.88
1.891,89.41
1.902333333,88.38
1.913666667,86.66
1.925,83.33
1.945,77.23
1.965,73.61
1.9835,63.9
2.002,62.81
2.0185,58.49
2.035,55.48
2.0515,45.45
2.068,43.64
2.079,42.67
2.09,30.2
2.101,35.22
2.1235,38.13
2.146,62.96
2.1625,32.97
2.179,42.06
2.179,37.41
2.18,0
